Time (s),Data,Step Detected (0/1)
0.0,5566.0,0
0.001639344262295082,11.207258,0
0.003278688524590164,11.195287,0
0.0049180327868852455,11.195287,0
0.006557377049180328,11.226412,0
0.00819672131147541,11.147403,0
0.009836065573770491,11.137827,0
0.011475409836065573,11.085154,0
0.013114754098360656,11.006146,0
0.014754098360655738,10.931925,0
0.01639344262295082,10.778696,0
0.018032786885245903,10.742783,0
0.019672131147540982,10.649409,0
0.021311475409836064,10.556036,0
0.022950819672131147,10.469844,0
0.02459016393442623,10.345346,0
0.02622950819672131,10.374076,0
0.027868852459016394,10.251972,0
0.029508196721311476,10.184934,0
0.03114754098360656,9.935937,0
0.03278688524590164,9.883265,0
0.03442622950819672,9.967062,0
0.036065573770491806,9.82341,0
0.03770491803278689,9.739613,0
0.039344262295081964,9.696517,0
0.040983606557377046,9.679758,0
0.04262295081967213,9.631874,0
0.04426229508196721,9.550471,0
0.04590163934426229,9.545683,0
0.047540983606557376,9.437943,0
0.04918032786885246,9.449914,0
0.05081967213114754,9.428367,0
0.05245901639344262,9.404425,0
0.054098360655737705,9.461885,0
0.05573770491803279,9.425972,0
0.05737704918032787,9.461885,0
0.05901639344262295,9.471462,0
0.060655737704918035,9.428367,0
0.06229508196721312,9.478645,0
0.06393442622950819,9.488222,0
0.06557377049180328,9.49301,0
0.06721311475409836,9.560048,0
0.06885245901639345,9.586384,0
0.07049180327868852,9.651027,0
0.07213114754098361,9.674969,0
0.07377049180327869,9.684546,0
0.07540983606557378,9.847352,0
0.07704918032786885,9.916784,0
0.07868852459016393,9.940726,0
0.08032786885245902,10.093955,0
0.08196721311475409,10.086772,0
0.08360655737704918,10.139445,0
0.08524590163934426,10.189723,0
0.08688524590163935,10.175358,0
0.08852459016393442,10.204088,0
0.09016393442622951,10.285491,0
0.09180327868852459,10.204088,0
0.09344262295081968,10.141839,0
0.09508196721311475,10.254366,0
0.09672131147540984,10.201694,0
0.09836065573770492,10.251972,0
0.1,10.180146,0
0.10163934426229508,10.194511,0
0.10327868852459017,10.160992,0
0.10491803278688525,10.196905,0
0.10655737704918032,10.113108,0
0.10819672131147541,10.194511,0
0.10983606557377049,10.141839,0
0.11147540983606558,10.192117,0
0.11311475409836065,10.180146,0
0.11475409836065574,10.165781,0
0.11639344262295082,10.196905,0
0.1180327868852459,10.13705,0
0.11967213114754098,10.163387,0
0.12131147540983607,10.141839,0
0.12295081967213115,10.1993,0
0.12459016393442623,10.103532,0
0.12622950819672132,10.13705,0
0.12786885245901639,10.175358,0
0.12950819672131147,10.129868,0
0.13114754098360656,10.177752,0
0.13278688524590163,10.141839,0
0.13442622950819672,10.089166,0
0.1360655737704918,10.129868,0
0.1377049180327869,10.122685,0
0.13934426229508196,10.120291,0
0.14098360655737704,10.058042,0
0.14262295081967213,10.09156,0
0.14426229508196722,10.06283,0
0.14590163934426228,10.036494,0
0.14754098360655737,9.991004,0
0.14918032786885246,9.993398,0
0.15081967213114755,9.94312,0
0.15245901639344261,9.945514,0
0.1540983606557377,9.832987,0
0.1557377049180328,9.770737,0
0.15737704918032785,9.782708,0
0.15901639344262294,9.816227,0
0.16065573770491803,9.859323,0
0.16229508196721312,9.876082,0
0.16393442622950818,9.909601,0
0.16557377049180327,10.058042,0
0.16721311475409836,10.070013,0
0.16885245901639345,10.15381,0
0.17049180327868851,10.170569,0
0.1721311475409836,10.196905,0
0.1737704918032787,10.307039,0
0.17540983606557378,10.412384,0
0.17704918032786884,10.448297,0
0.17868852459016393,10.46745,0
0.18032786885245902,10.635044,0
0.1819672131147541,10.654198,0
0.18360655737704917,10.852917,0
0.18524590163934426,10.896012,0
0.18688524590163935,10.953473,0
0.1885245901639344,11.068395,0
0.1901639344262295,11.073183,0
0.1918032786885246,11.207258,0
0.19344262295081968,11.305421,0
0.19508196721311474,11.334151,0
0.19672131147540983,11.453861,0
0.19836065573770492,11.587937,0
0.2,11.643003,0
0.20163934426229507,11.781867,0
0.20327868852459016,11.844116,0
0.20491803278688525,11.755531,0
0.20655737704918034,11.997345,0
0.2081967213114754,12.081142,0
0.2098360655737705,12.083536,0
